code,name,link,type
130128000000,深泽县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/13/01/130128.html,county
130129000000,赞皇县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/13/01/130129.html,county
130130000000,无极县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/13/01/130130.html,county
130131000000,平山县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/13/01/130131.html,county
130132000000,元氏县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/13/01/130132.html,county
130133000000,赵县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/13/01/130133.html,county
130171000000,石家庄高新技术产业开发区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/13/01/130171.html,county
130172000000,石家庄循环化工园区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/13/01/130172.html,county
130181000000,辛集市,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/13/01/130181.html,county
130183000000,晋州市,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/13/01/130183.html,county
130184000000,新乐市,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/13/01/130184.html,county
130200000000,唐山市,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/13/1302.html,city
130202000000,路南区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/13/02/130202.html,county
130203000000,路北区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/13/02/130203.html,county
130204000000,古冶区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/13/02/130204.html,county
130205000000,开平区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/13/02/130205.html,county
130207000000,丰南区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/13/02/130207.html,county
